date,lesson,practice_type
2026-03-14,1,LISTEN
2026-03-15,2,LISTEN
2026-03-16,3,LISTEN
2026-03-16,1,LISTEN
2026-03-16,1,READ
2026-03-18,4,LISTEN
2026-03-18,2,READ
2026-03-19,5,LISTEN
2026-03-19,2,LISTEN
2026-03-20,6,LISTEN
2026-03-20,3,LISTEN
2026-03-20,8,LISTEN
2026-03-21,9,LISTEN
2026-03-21,10,LISTEN
2026-03-22,4,LISTEN
2026-03-22,11,LISTEN
2026-03-23,5,LISTEN
2026-03-23,12,LISTEN
